,rf_accuracy,rf_precision,rf_recall,rf_f1,rf_auc_roc,rf_auc_prc,xgb_accuracy,xgb_precision,xgb_recall,xgb_f1,xgb_auc_roc,xgb_auc_prc,lof_accuracy,lof_precision,lof_recall,lof_f1,lof_auc_roc,lof_auc_prc
5,1.0,1.0,1.0,1.0,1.0,1.0,0.9285714285714286,0.9375,0.9285714285714286,0.928205128205128,0.9761904761904764,0.9545454545454546,1.0,1.0,1.0,1.0,1.0,1.0
6,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.25,0.5,0.3333333333333333,0.5,0.5,0.8,1.0,0.7142857142857143,0.8333333333333333,0.8571428571428572,0.9142857142857144
7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7777777777777778,0.8846153846153846,0.8214285714285714,0.8518518518518519,0.7232142857142858,0.8655372405372406
1,1.0,1.0,1.0,1.0,1.0,1.0,0.975,0.9761904761904764,0.975,0.9749843652282676,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.25,0.5,0.3333333333333333,0.5,0.5,0.8571428571428571,0.8,1.0,0.888888888888889,0.8333333333333334,0.8
